match_id,period,player_id,player_name,player_position,team_shortname,x_start,y_start,x_end,y_end,start_zone,end_zone,game_state,targeted,received,tiro_desde_centro,gol_desde_centro,desmarque_ruptura_con_opcion_pase
2047793,1,28747,E. Almendra,LM,Racing Club,12.23,24.84,11.62,24.63,12,12,drawing,True,True,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,1.3,18.6,1.3,18.6,12,12,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,21.91,8.22,21.28,12.81,13,13,drawing,False,False,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-0.55,18.55,-6.42,20.4,7,7,drawing,False,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-1.8,-2.79,-4.29,-4.14,8,9,drawing,True,True,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,8.36,-30.35,20.35,-32.8,15,15,drawing,False,False,0,0,0
2047793,1,26252,J. Nardoni,RM,Racing Club,19.45,-13.04,18.41,-14.63,14,14,drawing,False,False,0,0,0
2047793,1,36728,S. Sosa,DM,Racing Club,10.68,4.19,10.75,2.11,13,13,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,24.99,7.34,27.5,5.68,13,18,drawing,True,False,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,26.38,13.5,26.38,13.5,12,12,drawing,False,False,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,-3.31,0.32,-3.77,-0.18,8,8,drawing,False,False,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,-25.1,0.79,-26.95,2.22,8,3,drawing,False,False,0,0,0
2047793,1,38610,S. Arzamendia,LB,Estudiantes,-36.85,12.62,-38.41,13.73,3,2,drawing,False,False,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,-18.14,23.09,-18.19,23.05,7,7,drawing,False,False,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,-22.14,16.8,-26.12,16.21,7,2,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,42.22,0.83,40.09,0.99,18,18,drawing,False,False,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,33.67,4.42,34.33,4.41,18,18,drawing,False,False,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,34.25,-16.89,34.25,-19.95,19,20,drawing,True,True,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,37.43,-14.33,36.05,-17.11,19,19,drawing,False,False,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,35.68,-18.61,37.04,-17.05,19,19,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,39.95,0.62,41.81,-1.18,18,18,drawing,False,False,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,39.41,4.48,40.68,4.0,18,18,drawing,True,True,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,38.84,6.48,38.99,6.12,18,18,drawing,False,False,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,-14.71,-32.78,-11.03,-33.31,10,10,drawing,False,False,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,-6.69,-14.28,-11.69,-12.73,9,9,drawing,False,False,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,9.33,-2.16,9.14,-2.31,13,13,drawing,True,True,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,-3.27,11.94,-3.21,9.91,8,8,drawing,False,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-13.27,-2.77,-13.27,-2.77,8,8,drawing,False,False,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-6.6,2.49,-6.6,2.49,8,8,drawing,False,False,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-28.03,-10.24,-28.03,-10.24,4,4,drawing,False,False,0,0,0
2047793,1,36722,F. Cambeses,GK,Racing Club,-45.62,-7.85,-45.62,-7.85,4,4,drawing,True,True,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-30.28,-14.82,-30.28,-14.82,4,4,drawing,False,False,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,-42.55,-27.85,-42.55,-27.85,5,5,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,12.39,-19.95,12.39,-19.95,15,15,drawing,True,False,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,16.25,12.77,16.02,12.8,13,13,drawing,False,False,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,8.73,21.39,8.17,21.56,12,12,drawing,False,False,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-2.23,12.82,-3.82,15.49,8,7,drawing,True,True,0,0,0
2047793,1,34536,L. González Pírez,LCB,Estudiantes,-11.67,13.56,-14.4,16.63,7,7,drawing,False,False,0,0,0
2047793,1,131530,S. Núñez,RCB,Estudiantes,-14.59,4.7,-14.41,3.96,8,8,drawing,False,False,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,10.99,-20.81,16.61,-22.91,15,15,drawing,True,False,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,-15.66,24.21,-16.23,23.81,7,7,drawing,False,False,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,-34.92,24.11,-35.02,24.82,2,2,drawing,True,True,0,0,0
2047793,1,36728,S. Sosa,DM,Racing Club,-24.57,32.62,-27.54,33.67,6,1,drawing,True,False,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,-9.92,24.87,-9.12,25.72,7,7,drawing,False,False,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,-33.73,34.13,-33.73,34.13,1,1,drawing,False,False,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,-7.48,30.19,-7.48,30.19,6,6,drawing,False,False,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,-5.66,25.01,-5.66,25.01,7,7,drawing,True,False,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,5.66,-15.23,9.98,-12.78,14,14,drawing,False,False,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,5.36,-17.92,33.77,-20.02,14,20,drawing,True,True,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,30.16,-4.06,30.16,-4.06,19,19,drawing,False,False,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,34.41,-13.26,34.41,-13.26,19,19,drawing,True,False,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,37.08,-11.3,37.16,-11.37,19,19,drawing,False,False,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,10.61,-26.93,24.12,-32.48,15,15,drawing,False,False,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,32.44,-14.18,34.81,-22.06,19,20,drawing,True,True,0,0,0
2047793,1,38610,S. Arzamendia,LB,Estudiantes,27.7,-7.81,34.05,-9.1,19,19,drawing,False,False,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,33.86,-31.83,33.15,-31.9,20,20,drawing,False,False,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,19.92,-13.96,19.96,-13.88,14,14,drawing,False,False,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,37.34,-10.99,37.36,-10.96,19,19,drawing,True,True,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,33.67,-2.79,33.67,-2.79,18,18,drawing,False,False,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,-20.36,7.14,-20.63,7.12,8,8,drawing,False,False,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,-28.77,13.0,-27.58,13.36,3,2,drawing,False,False,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-30.22,21.33,-27.18,20.34,2,2,drawing,False,False,0,0,0
