match_id,period,player_id,player_name,player_position,team_shortname,x_start,y_start,x_end,y_end,start_zone,end_zone,game_state,rec_directa,presion_exitosa,lider_presion,part_cadena_presion,presion_solitario,cadena_presion_exitosa,presiones_consecutivas,presion_reduce_amenaza,presion_para_amenaza,duelo_ganado,duelo_perdido,obliga_a_retroceder
2047793,1,38142,A. Martínez,CF,Racing Club,36.24,11.38,35.36,12.88,18,18,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,10.7,6.89,10.12,12.35,13,13,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,2.51,17.8,2.89,18.4,12,12,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,28615,E. Piovi,DM,Estudiantes,-16.74,18.56,-16.3,14.53,7,7,drawing,0,1,1,1,0,1,0,0,0,0,0,0
2047793,1,36728,S. Sosa,DM,Racing Club,4.65,-15.28,-3.74,-21.72,14,10,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,6.15,-23.21,1.24,-23.61,15,15,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-15.92,-27.11,-16.02,-33.9,10,10,drawing,0,0,0,0,1,0,0,0,0,0,1,0
2047793,1,36728,S. Sosa,DM,Racing Club,-26.28,-24.59,-42.43,-13.84,5,4,drawing,0,1,0,0,1,0,1,0,1,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,-35.38,-15.69,-38.53,-17.37,4,4,drawing,0,0,0,0,1,0,1,0,0,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-43.1,-5.65,-44.37,-7.5,4,4,drawing,1,0,0,0,1,0,0,0,0,1,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,40.98,7.42,41.02,7.69,18,18,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,25949,E. Cetré,LW,Estudiantes,44.64,15.84,43.83,26.76,17,17,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,-9.15,-20.1,-6.41,-21.78,10,10,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,2.46,-20.5,1.77,-21.08,15,15,drawing,1,0,0,0,1,0,0,0,0,1,0,0
2047793,1,38610,S. Arzamendia,LB,Estudiantes,1.9,26.26,2.25,25.95,12,12,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,38610,S. Arzamendia,LB,Estudiantes,2.61,25.66,5.68,24.64,12,12,drawing,0,0,1,1,0,1,1,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,15.22,-2.27,-2.72,-6.44,13,9,drawing,0,0,1,1,0,1,0,0,0,0,1,0
2047793,1,35564,G. Rojas,LB,Racing Club,-21.45,24.16,-32.8,29.08,7,2,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,36728,S. Sosa,DM,Racing Club,-22.76,20.84,-27.4,22.71,7,2,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,-31.38,24.89,-26.55,20.3,2,2,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,-33.75,-12.14,-26.25,-22.62,4,5,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,-19.69,-20.93,-23.67,-23.72,10,10,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,-27.36,-22.6,-29.29,-23.14,5,5,drawing,0,1,0,0,1,0,1,0,0,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-20.4,-8.34,-12.17,-7.76,9,9,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,26252,J. Nardoni,RM,Racing Club,-13.86,-19.37,-8.78,-18.16,10,9,drawing,0,0,0,0,1,0,0,0,0,0,0,1
2047793,1,26252,J. Nardoni,RM,Racing Club,-0.35,-20.65,3.0,-18.77,10,14,drawing,0,0,0,0,1,0,0,0,0,0,0,1
2047793,1,38142,A. Martínez,CF,Racing Club,16.44,8.58,17.39,11.11,13,13,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,123094,A. García Basso,LCB,Racing Club,-15.48,0.93,-10.99,-4.6,8,9,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,36728,S. Sosa,DM,Racing Club,-14.81,-12.41,-19.09,-11.02,9,9,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,1,35671,D. Vergara,LF,Racing Club,-18.53,1.1,-23.51,0.67,8,8,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,-38.46,-18.92,-37.27,-18.4,4,4,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,-7.26,-2.53,-7.45,-8.37,8,9,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,20.63,-25.62,28.73,-21.4,15,20,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,15.37,15.6,32.42,31.23,12,16,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,2,13084,S. Ascacíbar,RM,Estudiantes,16.94,-6.59,20.95,-6.3,14,14,drawing,0,0,1,1,0,1,0,0,0,0,0,0
2047793,2,13084,S. Ascacíbar,RM,Estudiantes,21.63,-6.15,21.54,-3.49,14,14,drawing,0,1,1,1,0,1,1,0,0,0,0,0
2047793,2,4110,G. Carrillo,CF,Estudiantes,21.44,1.07,22.79,-0.32,13,13,drawing,0,1,1,1,0,1,0,0,0,0,0,0
2047793,2,58765,T. Palacios,RW,Estudiantes,26.37,-12.23,27.63,-11.23,14,19,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,2,58765,T. Palacios,RW,Estudiantes,27.93,-11.23,20.93,-20.73,19,15,drawing,0,0,0,0,1,0,1,0,0,0,0,0
2047793,2,812900,R. Gómez,RB,Estudiantes,27.39,-20.4,20.31,-28.14,20,15,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,2,13084,S. Ascacíbar,RM,Estudiantes,29.57,-15.99,21.62,-27.29,19,15,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,2,58765,T. Palacios,RW,Estudiantes,21.69,-17.01,24.31,-12.96,14,14,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,2,36739,C. Medina,LM,Estudiantes,12.45,-8.49,14.98,-7.58,14,14,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,2,812900,R. Gómez,RB,Estudiantes,-30.89,-27.07,-30.49,-29.93,5,5,drawing,0,1,0,0,1,0,0,0,0,0,0,0
2047793,2,35671,D. Vergara,LF,Racing Club,30.28,25.02,32.26,25.57,17,17,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,2,28747,E. Almendra,LM,Racing Club,21.32,22.53,21.47,23.71,12,12,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,2,36728,S. Sosa,DM,Racing Club,17.37,27.38,17.87,26.53,12,12,drawing,0,0,0,0,1,0,0,0,0,0,0,0
2047793,2,36739,C. Medina,LM,Estudiantes,-5.9,-4.69,-0.45,2.8,9,8,drawing,0,1,0,0,1,0,0,0,0,0,0,0
