match_id,period,player_name,player_targeted_name,player_position,player_targeted_position,team_shortname,x_start,y_start,start_zone,x_end,y_end,end_zone,game_state,pase_completado,pase_peligroso,pase_primera,pase_cabeza,pase_alto,pase_corto,pase_medio,pase_largo,pase_adelante,pase_atras,pase_lados,pase_dificil,pase_rompe_primera_linea,pase_rompe_segunda_linea,pase_rompe_ultima_linea,pase_area,packing,player_targeted_xthreat,player_targeted_xpass_completion
2047793,1,R. Gómez,G. Carrillo,RB,CF,Estudiantes,-26.86,-15.03,4,-15.61,-22.93,10,drawing,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,-1.0,0.0058,0.4582
2047793,1,N. Colombo,F. Cambeses,RCB,GK,Racing Club,-25.95,-12.89,4,-10.85,-18.95,9,drawing,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.0,0.0,0.9991
2047793,1,F. Cambeses,N. Colombo,GK,RCB,Racing Club,-30.46,-1.84,3,-29.55,-2.24,3,drawing,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0001,0.9981
2047793,1,N. Colombo,J. Nardoni,RCB,RM,Racing Club,-14.99,-24.12,10,-11.93,-25.05,10,drawing,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0005,0.9991
2047793,1,J. Nardoni,F. Mura,RM,RB,Racing Club,1.83,-22.17,15,3.29,-22.84,15,drawing,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0.0007,0.988
2047793,1,F. Mura,N. Colombo,RB,RCB,Racing Club,8.31,-33.44,15,8.31,-33.44,15,drawing,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0,0.0002,0.9973
2047793,1,N. Colombo,A. García Basso,RCB,LCB,Racing Club,-7.3,-25.26,10,-7.12,-22.69,10,drawing,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0004,0.999
2047793,1,A. García Basso,G. Rojas,LCB,LB,Racing Club,-9.33,0.17,8,-8.05,2.27,8,drawing,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,-0.0,0.0049,0.7327
2047793,1,G. Rojas,D. Vergara,LB,LF,Racing Club,27.06,33.8,11,27.06,33.8,11,drawing,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,-0.0,0.0087,0.603
2047793,1,G. Rojas,D. Vergara,LB,LF,Racing Club,20.73,27.47,12,20.73,27.47,12,drawing,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.005,0.7251
2047793,1,T. Palacios,G. Carrillo,RW,CF,Estudiantes,-19.18,-21.26,10,-19.18,-21.26,10,drawing,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,,
2047793,1,F. Cambeses,A. García Basso,GK,LCB,Racing Club,-32.03,3.42,3,-33.45,4.46,3,drawing,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,0.0,0.9977
2047793,1,A. García Basso,S. Sosa,LCB,DM,Racing Club,-26.91,16.42,2,-26.96,16.42,2,drawing,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,-0.0,0.0001,0.9987
2047793,1,S. Sosa,N. Colombo,DM,RCB,Racing Club,-24.92,7.89,8,-25.23,2.78,8,drawing,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-0.0,0.0,0.9993
2047793,1,N. Colombo,S. Sosa,RCB,DM,Racing Club,-18.93,-18.4,9,-11.39,-21.8,10,drawing,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-1.0,0.0001,0.9989
2047793,1,S. Sosa,A. García Basso,DM,LCB,Racing Club,-23.75,-10.03,9,-24.13,-9.8,9,drawing,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,0.0001,0.9982
2047793,1,A. García Basso,F. Mura,LCB,RB,Racing Club,-24.58,16.49,7,-17.03,15.42,7,drawing,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,-1.0,0.0094,0.6048
2047793,1,E. Piovi,S. Arzamendia,DM,LB,Estudiantes,-14.33,25.03,7,-15.14,25.92,7,drawing,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0003,0.9675
2047793,1,S. Arzamendia,E. Cetré,LB,LW,Estudiantes,-18.37,32.88,6,-17.69,33.06,6,drawing,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,-0.0,0.0082,0.458
2047793,1,A. García Basso,N. Colombo,LCB,RCB,Racing Club,-21.68,-17.38,9,-21.68,-17.38,9,drawing,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,,
2047793,1,C. Medina,T. Palacios,LM,RW,Estudiantes,12.17,17.21,12,27.73,-1.7,18,drawing,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1.0,0.0678,0.9273
2047793,1,F. Cambeses,A. Martínez,GK,CF,Racing Club,-47.68,1.08,3,-44.51,-3.48,4,drawing,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-0.0,0.0013,0.756
2047793,1,S. Núñez,E. Piovi,RCB,DM,Estudiantes,-16.95,-6.37,9,-16.95,-6.37,9,drawing,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.0,,
2047793,1,L. González Pírez,F. Muslera,LCB,GK,Estudiantes,-41.74,14.1,2,-25.36,16.31,7,drawing,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-1.0,0.0,0.999
2047793,1,F. Muslera,S. Núñez,GK,RCB,Estudiantes,-40.68,2.25,3,-40.72,0.44,3,drawing,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0001,0.9973
2047793,1,S. Núñez,F. Muslera,RCB,GK,Estudiantes,-27.13,-22.55,5,-23.89,-21.94,10,drawing,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.0,0.0,0.9985
2047793,1,F. Muslera,L. González Pírez,GK,LCB,Estudiantes,-38.64,-2.98,3,-38.14,-1.61,3,drawing,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0,0.9985
2047793,1,L. González Pírez,S. Ascacíbar,LCB,RM,Estudiantes,-34.14,15.0,2,-32.98,16.09,2,drawing,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,-1.0,0.0009,0.8431
2047793,1,S. Ascacíbar,S. Arzamendia,RM,LB,Estudiantes,-12.21,19.64,7,-12.21,19.64,7,drawing,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,-0.0,0.0036,0.8937
2047793,1,N. Colombo,S. Solari,RCB,RF,Racing Club,9.13,-27.27,15,8.96,-26.39,15,drawing,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,-0.0,0.0036,0.5325
2047793,1,S. Arzamendia,S. Ascacíbar,LB,RM,Estudiantes,-32.48,31.54,1,-43.66,32.72,1,drawing,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1.0,0.0001,0.6268
2047793,1,S. Ascacíbar,G. Carrillo,RM,CF,Estudiantes,-23.58,29.05,7,-23.58,29.05,7,drawing,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,-0.0,0.0022,0.6648
2047793,1,S. Sosa,E. Almendra,DM,LM,Racing Club,10.12,-17.95,14,10.12,-17.95,14,drawing,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.0,0.0061,0.9837
