match_id,period,player_id,player_name,player_position,team_shortname,x_start,y_start,x_end,y_end,start_zone,end_zone,game_state,ruptura_sin_opcion,intento_pared,desmarque_dentro_fuera,desmarque_fuera_dentro,desmarque_por_delante,desmarque_profundidad,desmarque_profundidad_completado,desmarque_profundidad_centro,desmarque_profundidad_centro_completado,desmarque_profundidad_fuera,desmarque_profundidad_fuera_completado
2047793,1,812900,R. Gómez,RB,Estudiantes,-19.42,-10.67,-15.64,-17.01,9,9,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,13084,S. Ascacíbar,RM,Estudiantes,-14.68,-5.31,-9.57,-18.62,9,9,drawing,0,0,1,0,0,0,0,0,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,11.38,-6.88,17.65,-19.79,14,15,drawing,0,0,1,0,0,1,0,1,0,0,0
2047793,1,812900,R. Gómez,RB,Estudiantes,15.13,-26.88,18.16,-27.15,15,15,drawing,0,1,0,0,0,0,0,0,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,26.1,-4.01,23.84,-7.42,14,14,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,4110,G. Carrillo,CF,Estudiantes,1.5,6.8,5.66,-1.33,13,13,drawing,0,0,0,0,0,1,0,1,0,0,0
2047793,1,36739,C. Medina,LM,Estudiantes,4.78,25.75,-2.01,31.09,12,6,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,58765,T. Palacios,RW,Estudiantes,35.63,-19.5,38.96,-14.01,20,19,drawing,1,1,0,0,0,1,0,1,0,0,0
2047793,1,26252,J. Nardoni,RM,Racing Club,-3.78,-13.53,-15.83,-7.42,9,9,drawing,0,0,1,0,0,0,0,0,0,0,0
2047793,1,28677,N. Colombo,RCB,Racing Club,-21.08,-25.93,-25.04,-24.35,10,10,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,28747,E. Almendra,LM,Racing Club,-0.58,18.08,-7.27,21.68,7,7,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,6.0,-34.4,18.25,-32.21,15,15,drawing,0,0,0,0,0,1,0,0,0,1,0
2047793,1,26252,J. Nardoni,RM,Racing Club,8.56,-17.04,12.82,-19.58,14,15,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,15.17,0.64,15.32,9.94,13,13,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,35564,G. Rojas,LB,Racing Club,22.24,32.96,27.52,31.44,11,16,drawing,0,0,0,0,0,1,0,0,0,1,0
2047793,1,528888,S. Solari,RF,Racing Club,22.44,6.6,21.14,14.55,13,12,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,28755,F. Mura,RB,Racing Club,5.42,-28.8,25.67,-31.0,15,15,drawing,0,0,0,0,0,0,0,0,0,0,0
2047793,1,528888,S. Solari,RF,Racing Club,26.24,6.35,33.04,3.58,13,18,drawing,1,0,0,0,0,1,0,1,0,0,0
2047793,1,38142,A. Martínez,CF,Racing Club,37.04,-17.05,43.79,-8.36,19,19,drawing,0,0,0,1,0,0,0,0,0,0,0
